アクメシア	Akumesia
sb_obj_nature009_Aqplant01b	sb_obj_nature009_Aqplant01b
sb_obj_nature009_Aqplant01c(sb_obj_nature009_Aqplant01c_02)	sb_obj_nature009_Aqplant01c(sb_obj_nature009_Aqplant01c_02)
shader a_n_rm_wind_discard afc9299c6caf4532a8b3a01a64a48095\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap d5634ea402104258be4960f788a6911b sb_obj_nature009_Aqplant01c_02_abedo.bmp\nNMap cd28f3d95b5a46c0b42729eae3c35564 sb_obj_nature009_Aqplant01c_02_normal.bmp\nRMMap f8898ce713464bf59a2c1d7475be32d6 sb_obj_nature009_Aqplant01c_02_mask.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 1.000000\nroughness 1.000000\nmetallic 1.000000\nspecular 1.000000\nemissive_color 1.000000 1.000000 1.000000\nemissive_strength 5.000000\ndiscard_threshold 0.900000\nwind_force 0.010000 0.000000 0.010000\nwind_freq 5.000000\nwind_interval 0.000000\nwind_fix_root false\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n	shader a_n_rm_wind_discard afc9299c6caf4532a8b3a01a64a48095\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap d5634ea402104258be4960f788a6911b sb_obj_nature009_Aqplant01c_02_abedo.bmp\nNMap cd28f3d95b5a46c0b42729eae3c35564 sb_obj_nature009_Aqplant01c_02_normal.bmp\nRMMap f8898ce713464bf59a2c1d7475be32d6 sb_obj_nature009_Aqplant01c_02_mask.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 1.000000\nroughness 1.000000\nmetallic 1.000000\nspecular 1.000000\nemissive_color 1.000000 1.000000 1.000000\nemissive_strength 5.000000\ndiscard_threshold 0.900000\nwind_force 0.010000 0.000000 0.010000\nwind_freq 5.000000\nwind_interval 0.000000\nwind_fix_root false\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n
sb_obj_nature009_Aqplant01c_02	sb_obj_nature009_Aqplant01c_02
sb_obj_nature009_Aqplant01c(sb_obj_nature009_Aqplant01c)	sb_obj_nature009_Aqplant01c(sb_obj_nature009_Aqplant01c)
shader a_n_wind_discard d20e3ecf7a98428dacc6dd431ba2bde6\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap 28d5a9dab80b403a9a8532710e75a283 sb_obj_nature009_Aqplant01c_abedo.bmp\nNMap 9b9c38b0887d46d0853d239435764ef8 sb_obj_nature009_Aqplant01c_normal.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 1.000000\nroughness 0.900000\nmetallic 0.000000\nspecular 0.000000\ndiscard_threshold 0.500000\nwind_force 0.015000 0.015000 0.015000\nwind_freq 5.000000\nwind_interval 0.000000\nwind_fix_root true\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n	shader a_n_wind_discard d20e3ecf7a98428dacc6dd431ba2bde6\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap 28d5a9dab80b403a9a8532710e75a283 sb_obj_nature009_Aqplant01c_abedo.bmp\nNMap 9b9c38b0887d46d0853d239435764ef8 sb_obj_nature009_Aqplant01c_normal.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 1.000000\nroughness 0.900000\nmetallic 0.000000\nspecular 0.000000\ndiscard_threshold 0.500000\nwind_force 0.015000 0.015000 0.015000\nwind_freq 5.000000\nwind_interval 0.000000\nwind_fix_root true\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n
sb_obj_nature009_Aqplant01c	sb_obj_nature009_Aqplant01c
.\res\model\sb_obj_nature009_Aqplant01a\sb_obj_nature009_Aqplant01a.fbx	.\res\model\sb_obj_nature009_Aqplant01a\sb_obj_nature009_Aqplant01a.fbx
.\res\model\sb_obj_nature009_Aqplant01b\sb_obj_nature009_Aqplant01b.fbx	.\res\model\sb_obj_nature009_Aqplant01b\sb_obj_nature009_Aqplant01b.fbx
sb_obj_nature009_Aqplant01a_col	sb_obj_nature009_Aqplant01a_col
.\res\model\sb_obj_nature009_Aqplant01a_col\sb_obj_nature009_Aqplant01a_col.fbx	.\res\model\sb_obj_nature009_Aqplant01a_col\sb_obj_nature009_Aqplant01a_col.fbx
.\res\model\sb_obj_nature009_Aqplant01c\sb_obj_nature009_Aqplant01c.fbx	.\res\model\sb_obj_nature009_Aqplant01c\sb_obj_nature009_Aqplant01c.fbx
水草	Water Grass
水蓮	Water Lily
蓮	Lotus
sb_obj_outdoor028_house02_wall02_albedo	sb_obj_outdoor028_house02_wall02_albedo
.\res\model\sb_obj_outdoor028_house02_wall02\texture\sb_obj_outdoor028_house02_wall02_albedo.bmp	.\res\model\sb_obj_outdoor028_house02_wall02\texture\sb_obj_outdoor028_house02_wall02_albedo.bmp
sb_obj_outdoor028_house02_wall02_normal	sb_obj_outdoor028_house02_wall02_normal
.\res\model\sb_obj_outdoor028_house02_wall02\texture\sb_obj_outdoor028_house02_wall02_normal.bmp	.\res\model\sb_obj_outdoor028_house02_wall02\texture\sb_obj_outdoor028_house02_wall02_normal.bmp
sb_obj_outdoor028_house02_wall02_mask	sb_obj_outdoor028_house02_wall02_mask
.\res\texture\sb_obj_outdoor028_house02_wall02_mask.bmp	.\res\texture\sb_obj_outdoor028_house02_wall02_mask.bmp
sb_obj_outdoor028_house02_a(sb_obj_outdoor028_house02_mat)	sb_obj_outdoor028_house02_a(sb_obj_outdoor028_house02_mat)
shader a_n_rm 542d323fb6604f468eb8fd99b29502d8\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap 278d23397d584b119e4e690620556914 sb_obj_outdoor028_house02_wall_albedo.bmp\nNMap 3ecc31f48c4f4fee845e8ca7fb6b6b81 sb_obj_outdoor028_house02_wall_normal.bmp\nRMMap 3a2590599cbc44c9ab373f78f39bce1f sb_obj_outdoor028_house02_wall_mask.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 1.000000\nroughness 1.000000\nmetallic 1.000000\nspecular 1.000000\nemissive_color 1.000000 1.000000 1.000000\nemissive_strength 0.000000\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n	shader a_n_rm 542d323fb6604f468eb8fd99b29502d8\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap 278d23397d584b119e4e690620556914 sb_obj_outdoor028_house02_wall_albedo.bmp\nNMap 3ecc31f48c4f4fee845e8ca7fb6b6b81 sb_obj_outdoor028_house02_wall_normal.bmp\nRMMap 3a2590599cbc44c9ab373f78f39bce1f sb_obj_outdoor028_house02_wall_mask.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 1.000000\nroughness 1.000000\nmetallic 1.000000\nspecular 1.000000\nemissive_color 1.000000 1.000000 1.000000\nemissive_strength 0.000000\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n
sb_obj_outdoor028_house02_mat	sb_obj_outdoor028_house02_mat
sb_obj_outdoor028_house02_a(sb_obj_outdoor028_house02_door_mat)	sb_obj_outdoor028_house02_a(sb_obj_outdoor028_house02_door_mat)
shader a_n_rm 542d323fb6604f468eb8fd99b29502d8\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap 3cb4cfaefcce4f1da5b3d6f247ca5b76 sb_obj_outdoor028_house02_door_albedo.bmp\nNMap 0f1fb62ff1e54263b962748ec7639b5c sb_obj_outdoor028_house02_door_normal.bmp\nRMMap 2a4a21e30f494278b2bdf1a529738971 sb_obj_outdoor028_house02_door_mask.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 1.000000\nroughness 1.000000\nmetallic 1.000000\nspecular 1.000000\nemissive_color 1.000000 1.000000 1.000000\nemissive_strength 0.000000\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n	shader a_n_rm 542d323fb6604f468eb8fd99b29502d8\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap 3cb4cfaefcce4f1da5b3d6f247ca5b76 sb_obj_outdoor028_house02_door_albedo.bmp\nNMap 0f1fb62ff1e54263b962748ec7639b5c sb_obj_outdoor028_house02_door_normal.bmp\nRMMap 2a4a21e30f494278b2bdf1a529738971 sb_obj_outdoor028_house02_door_mask.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 1.000000\nroughness 1.000000\nmetallic 1.000000\nspecular 1.000000\nemissive_color 1.000000 1.000000 1.000000\nemissive_strength 0.000000\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n
sb_obj_outdoor028_house02_door_mat	sb_obj_outdoor028_house02_door_mat
sb_obj_outdoor028_house02_a(sb_obj_outdoor028_house02_roof_a_mat)	sb_obj_outdoor028_house02_a(sb_obj_outdoor028_house02_roof_a_mat)
shader a_n_rm 542d323fb6604f468eb8fd99b29502d8\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap 0daaf4728c024104972a5dd171617c68 sb_obj_outdoor028_house02_roof_a_albedo.bmp\nNMap 26aadb77ba6b40bd9904c2ecc63c5ab9 sb_obj_outdoor028_house02_roof_a_normal.bmp\nRMMap 3df56929e25f42b5afcc534c7b8543e0 sb_obj_outdoor028_house02_roof_a_mask.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 1.000000\nroughness 1.000000\nmetallic 1.000000\nspecular 1.000000\nemissive_color 1.000000 1.000000 1.000000\nemissive_strength 5.000000\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n	shader a_n_rm 542d323fb6604f468eb8fd99b29502d8\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap 0daaf4728c024104972a5dd171617c68 sb_obj_outdoor028_house02_roof_a_albedo.bmp\nNMap 26aadb77ba6b40bd9904c2ecc63c5ab9 sb_obj_outdoor028_house02_roof_a_normal.bmp\nRMMap 3df56929e25f42b5afcc534c7b8543e0 sb_obj_outdoor028_house02_roof_a_mask.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 1.000000\nroughness 1.000000\nmetallic 1.000000\nspecular 1.000000\nemissive_color 1.000000 1.000000 1.000000\nemissive_strength 5.000000\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n
sb_obj_outdoor028_house02_roof_a_mat	sb_obj_outdoor028_house02_roof_a_mat
sb_obj_outdoor028_house02_wall02(sb_obj_outdoor028_house02_wall02_mat)	sb_obj_outdoor028_house02_wall02(sb_obj_outdoor028_house02_wall02_mat)
shader a_n_rm 542d323fb6604f468eb8fd99b29502d8\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap d75ba9e987264df5b24b3c16dbd8baa4 sb_obj_outdoor028_house02_wall02_albedo.bmp\nNMap 2bec7b823c6b440ea17dfe561c7f4c5c sb_obj_outdoor028_house02_wall02_normal.bmp\nRMMap b5f1926d019c4a5f899b5eb9c6f618a4 sb_obj_outdoor028_house02_wall02_mask.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 1.000000\nroughness 1.000000\nmetallic 1.000000\nspecular 1.000000\nemissive_color 1.000000 1.000000 1.000000\nemissive_strength 5.000000\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n	shader a_n_rm 542d323fb6604f468eb8fd99b29502d8\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap d75ba9e987264df5b24b3c16dbd8baa4 sb_obj_outdoor028_house02_wall02_albedo.bmp\nNMap 2bec7b823c6b440ea17dfe561c7f4c5c sb_obj_outdoor028_house02_wall02_normal.bmp\nRMMap b5f1926d019c4a5f899b5eb9c6f618a4 sb_obj_outdoor028_house02_wall02_mask.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 1.000000\nroughness 1.000000\nmetallic 1.000000\nspecular 1.000000\nemissive_color 1.000000 1.000000 1.000000\nemissive_strength 5.000000\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n
sb_obj_outdoor028_house02_wall02_mat	sb_obj_outdoor028_house02_wall02_mat
sb_obj_outdoor028_house02_a	sb_obj_outdoor028_house02_a
.\res\model\sb_obj_outdoor028_house02_a\sb_obj_outdoor028_house02_a.fbx	.\res\model\sb_obj_outdoor028_house02_a\sb_obj_outdoor028_house02_a.fbx
sb_obj_outdoor028_house02_a_col	sb_obj_outdoor028_house02_a_col
.\res\model\sb_obj_outdoor028_house02_a_col\sb_obj_outdoor028_house02_a_col.fbx	.\res\model\sb_obj_outdoor028_house02_a_col\sb_obj_outdoor028_house02_a_col.fbx
close01	close01
Armature|close01	Armature|close01
close02	close02
Armature|close02	Armature|close02
Armature|close_keep	Armature|close_keep
open01	open01
Armature|open01	Armature|open01
open01_keep	open01_keep
Armature|open01_keep	Armature|open01_keep
open02	open02
Armature|open02	Armature|open02
open02_keep	open02_keep
Armature|open02_keep	Armature|open02_keep
sb_obj_outdoor028_house02_wall02	sb_obj_outdoor028_house02_wall02
.\res\model\sb_obj_outdoor028_house02_wall02\sb_obj_outdoor028_house02_wall02.fbx	.\res\model\sb_obj_outdoor028_house02_wall02\sb_obj_outdoor028_house02_wall02.fbx
sb_obj_outdoor028_house02_wall02_col	sb_obj_outdoor028_house02_wall02_col
.\res\model\sb_obj_outdoor028_house02_wall02_col\sb_obj_outdoor028_house02_wall02_col.fbx	.\res\model\sb_obj_outdoor028_house02_wall02_col\sb_obj_outdoor028_house02_wall02_col.fbx
藁葺きの家-壁02	Thatched House-Wall 02
岩破壊	Rock Destruction
.\res\particle\sb_ef_battle042_Earth_all_nomodel\sb_ef_battle042_Earth_all_nomodel.efk	.\res\particle\sb_ef_battle042_Earth_all_nomodel\sb_ef_battle042_Earth_all_nomodel.efk
It_039_wallClock_2	It_039_wallClock_2
sys:14d05464-b51e-4fc1-842a-752cd77641a0|.\res\mapobject\texture\It_039_wallClock.png	sys:14d05464-b51e-4fc1-842a-752cd77641a0|.\res\mapobject\texture\It_039_wallClock.png
It_039_wallClock_2_2	It_039_wallClock_2_2
It_039_wallClock_HD	It_039_wallClock_HD
.\res\model\Wall Clock_HD\texture\It_039_wallClock_HD.bmp	.\res\model\Wall Clock_HD\texture\It_039_wallClock_HD.bmp
It_039_wallClock_HD_normal	It_039_wallClock_HD_normal
.\res\model\Wall Clock_HD\texture\It_039_wallClock_HD_normal.bmp	.\res\model\Wall Clock_HD\texture\It_039_wallClock_HD_normal.bmp
It_039_wallClock_HD_mask	It_039_wallClock_HD_mask
.\res\texture\It_039_wallClock_HD_mask.bmp	.\res\texture\It_039_wallClock_HD_mask.bmp
Wall Clock(wallclock_mat)_2	Wall Clock(wallclock_mat)_2
sys:14d05464-b51e-4fc1-842a-752cd77641a0|.\	sys:14d05464-b51e-4fc1-842a-752cd77641a0|.\
shader map\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nsortindex 0\ncastshadow true\ncull back\nuvofs 0.000000 0.000000\nDifMap de69ed1d995045678c2aa5d7374cf3f5 It_039_wallClock.png\nroughness 0.900000\nmetallic 0.000000\nspecular 0.500000\n	shader map\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nsortindex 0\ncastshadow true\ncull back\nuvofs 0.000000 0.000000\nDifMap de69ed1d995045678c2aa5d7374cf3f5 It_039_wallClock.png\nroughness 0.900000\nmetallic 0.000000\nspecular 0.500000\n
Wall Clock(add_mat)_2	Wall Clock(add_mat)_2
shader map_nolit_add\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nsortindex 0\ncastshadow true\ncull back\nuvofs 0.000000 0.000000\nDifMap d8f190872ba7455ea74d26245dd6fcf6 It_039_wallClock.png\n	shader map_nolit_add\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nsortindex 0\ncastshadow true\ncull back\nuvofs 0.000000 0.000000\nDifMap d8f190872ba7455ea74d26245dd6fcf6 It_039_wallClock.png\n
Wall Clock_HD(wallclock_mat)	Wall Clock_HD(wallclock_mat)
shader a_n_rm 542d323fb6604f468eb8fd99b29502d8\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap c3b855ed1a7b410994ce91e90a1a48f0 It_039_wallClock_HD.bmp\nNMap 215836b0ee11464093c2bbdd788abdf4 It_039_wallClock_HD_normal.bmp\nRMMap 06f667d079604d5b9e0f0f768f7b27f1 It_039_wallClock_HD_mask.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 0.500000\nroughness 1.000000\nmetallic 1.000000\nspecular 0.500000\nemissive_color 1.000000 1.000000 1.000000\nemissive_strength 0.000000\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n	shader a_n_rm 542d323fb6604f468eb8fd99b29502d8\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap c3b855ed1a7b410994ce91e90a1a48f0 It_039_wallClock_HD.bmp\nNMap 215836b0ee11464093c2bbdd788abdf4 It_039_wallClock_HD_normal.bmp\nRMMap 06f667d079604d5b9e0f0f768f7b27f1 It_039_wallClock_HD_mask.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 0.500000\nroughness 1.000000\nmetallic 1.000000\nspecular 0.500000\nemissive_color 1.000000 1.000000 1.000000\nemissive_strength 0.000000\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n
wallclock_mat	wallclock_mat
Wall Clock_motion	Wall Clock_motion
sys:14d05464-b51e-4fc1-842a-752cd77641a0|.\res\mapobject\Indoor\Wall Clock.fbx	sys:14d05464-b51e-4fc1-842a-752cd77641a0|.\res\mapobject\Indoor\Wall Clock.fbx
Wall Clock_2	Wall Clock_2
Folder\屋内	Folder\屋内
Wall Clock_HD	Wall Clock_HD
.\res\model\Wall Clock_HD\Wall Clock_HD.fbx	.\res\model\Wall Clock_HD\Wall Clock_HD.fbx
壁時計	Wall Clock
Woodfence_albedo	Woodfence_albedo
.\res\model\Woodfence Corner_HD\texture\Woodfence_albedo.bmp	.\res\model\Woodfence Corner_HD\texture\Woodfence_albedo.bmp
Woodfence_normal	Woodfence_normal
.\res\model\Woodfence Corner_HD\texture\Woodfence_normal.bmp	.\res\model\Woodfence Corner_HD\texture\Woodfence_normal.bmp
Woodfence Corner_HD(woodfence_mat)	Woodfence Corner_HD(woodfence_mat)
shader a_n 09ed65ad49b4492da5d217339562c62f\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap 415688410d614411bade55a836a1fa89 Woodfence_albedo.bmp\nNMap eb4120d87e12425db54ccd610a8da4f2 Woodfence_normal.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 1.000000\nroughness 0.500000\nmetallic 0.000000\nspecular 1.000000\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n	shader a_n 09ed65ad49b4492da5d217339562c62f\nemissiveBlink false\nemissiveBlinkSpeed 0.000000\nemissiveLinkBuildingLight false\nuscrollanim false\nvscrollanim false\nscrollanimspeed 0.000000 0.000000\nuvstepanim false\nuvstepanimparam 1 1 0 1.000000\nuvstepanim_modeluvorigin false\nsortindex 0\ncastshadow true\nreceivedecal false\ncull back\ndrawOutline false\noutlineWidth 1.000000\noutlineColor 0.000000 0.000000 0.000000 1.000000\noverrideOutlineSetting false\ndistanceFade false\nuvofs 0.000000 0.000000\nuvscl 1.000000 1.000000\nAMap 415688410d614411bade55a836a1fa89 Woodfence_albedo.bmp\nNMap eb4120d87e12425db54ccd610a8da4f2 Woodfence_normal.bmp\ncolor 1.000000 1.000000 1.000000\nnormalscl 1.000000\nroughness 0.500000\nmetallic 0.000000\nspecular 1.000000\nheightScale 0.000000\nparallaxType None\nheightMapInvert false\n
woodfence_mat	woodfence_mat
Woodfence Edge_HD(woodfence_mat)	Woodfence Edge_HD(woodfence_mat)
Woodfence_HD(woodfence_mat)	Woodfence_HD(woodfence_mat)
Woodfence Corner_HD	Woodfence Corner_HD
.\res\model\Woodfence Corner_HD\Woodfence Corner_HD.fbx	.\res\model\Woodfence Corner_HD\Woodfence Corner_HD.fbx
Woodfence Edge_HD	Woodfence Edge_HD
.\res\model\Woodfence Edge_HD\Woodfence Edge_HD.fbx	.\res\model\Woodfence Edge_HD\Woodfence Edge_HD.fbx
Woodfence_HD	Woodfence_HD
.\res\model\Woodfence_HD\Woodfence_HD.fbx	.\res\model\Woodfence_HD\Woodfence_HD.fbx
木の柵-コーナー	Wooden Fence-Corner
木の柵-端	Wooden Fence-End
木の柵	Wooden Fence
Service Counter Table_HD	Service Counter Table_HD
